avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.0,1.0,1.912194569477061,25.5
2,1,ARS,2.75,1.5,1.1730173106143513,24.5
5,3,CHE,4.75,2.5,0.8615198002070424,15.75
3,2,TOT,3.75,2.25,1.0941074280273628,12.25
4,2,MUN,5.0,2.75,0.8739023878900763,11.0
7,4,BHA,8.25,4.5,0.2797610663056913,10.0
11,6,WHU,10.5,5.75,-0.11478670728706947,7.0
6,3,BRE,7.5,4.0,0.3263172192553859,5.5
13,7,WOL,12.25,6.25,-0.2336126295639867,2.75
8,4,NFO,8.5,4.5,0.2089744047784704,0.75
10,5,BOU,11.0,5.75,-0.08561220123413235,-1.0
12,6,NEW,12.5,6.5,-0.2331837775513321,-1.5
14,7,MCI,13.5,6.75,-0.5429079641039032,-4.0
16,8,AVL,14.75,7.5,-0.65349259811072,-6.0
9,5,FUL,9.75,5.25,0.04227254482084715,-7.0
17,9,CRY,15.5,8.0,-0.76993292020781,-12.5
15,8,EVE,13.5,7.0,-0.5546140607112691,-17.0
18,9,IPS,17.5,9.0,-0.9656922213984878,-17.0
19,10,LEI,18.5,9.5,-1.2243189299267314,-23.5
20,10,SOU,19.25,9.75,-1.3939127212859863,-25.5
