home_attAdv,home_defAdv,home_fplAdv,home_team,away_team,away_fplAdv,away_defAdv,away_attAdv
-5,1,0,IPS,CRY,0,5,-1
-4,-3,-4,LEI,WHU,4,4,3
1,0,-2,EVE,WOL,2,-1,0
-4,1,-3,MCI,NFO,3,4,-1
-6,-4,-6,NEW,LIV,6,6,4
-5,-8,-8,SOU,CHE,8,5,8
-1,2,2,ARS,MUN,-2,1,-2
1,-5,-5,AVL,BRE,5,-1,5
1,-2,-1,FUL,BHA,1,-1,2
-2,-6,-3,BOU,TOT,3,2,6
-8,-2,-7,EVE,LIV,7,8,2
3,2,2,AVL,SOU,-2,-3,-2
2,0,4,BRE,NEW,-4,-2,0
-3,2,-2,CRY,MCI,2,3,-2
-2,7,1,MUN,NFO,-1,2,-7
-3,-4,-4,FUL,ARS,4,3,4
-1,-4,-4,IPS,BOU,4,1,4
-2,-6,-6,LEI,BHA,6,2,6
3,-2,0,TOT,CHE,0,-3,2
3,-1,0,WHU,WOL,0,-3,1
1,7,7,ARS,EVE,-7,-1,-7
5,4,4,LIV,FUL,-4,-5,-4
3,3,3,NEW,LEI,-3,-3,-3
6,-1,3,WOL,IPS,-3,-6,1
0,4,4,NFO,AVL,-4,0,-4
0,4,5,BHA,CRY,-5,0,-4
-5,-3,-4,MCI,MUN,4,5,3
6,-2,1,CHE,BRE,-1,-6,2
-7,-7,-8,SOU,TOT,8,7,7
-1,-1,1,BOU,WHU,-1,1,1
1,-2,-1,AVL,MCI,1,-1,2
-1,1,1,BRE,NFO,-1,1,-1
-4,-2,-2,IPS,NEW,2,4,2
-1,0,-2,WHU,BHA,2,1,0
-8,-2,-8,CRY,ARS,8,8,2
-4,-2,-6,EVE,CHE,6,4,2
4,4,5,FUL,SOU,-5,-4,-4
2,-7,-4,LEI,WOL,4,-2,7
4,4,2,MUN,BOU,-2,-4,-4
-1,-2,-1,TOT,LIV,1,1,2
-3,2,1,MCI,EVE,-1,3,-2
-1,2,4,BOU,CRY,-4,1,-2
5,0,3,CHE,FUL,-3,-5,0
1,1,1,NEW,AVL,-1,-1,-1
-5,0,-2,NFO,TOT,2,5,0
-6,-2,-4,SOU,WHU,4,6,2
-2,-6,-3,WOL,MUN,3,2,6
9,7,9,LIV,LEI,-9,-9,-7
3,-3,-1,BHA,BRE,1,-3,3
7,7,8,ARS,IPS,-8,-7,-7
