att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
2,1,CHE,33.70108972201951,2.0,1.2706766566289251,8
4,2,TOT,32.03223985163467,2.1538461538461537,1.2294759805169475,6
5,3,BRE,31.702727124808142,2.0,1.0610678049186881,5
1,1,LIV,34.81311050134652,2.0,1.3873168494321755,4
13,7,WHU,22.937157699519297,1.3076923076923077,-0.4606600902248311,3
7,4,BHA,29.44317090894218,1.6923076923076923,0.5563713024159115,2
10,5,FUL,26.903280445095998,1.3846153846153846,0.022270456629370813,1
11,6,AVL,22.70820393249937,1.4615384615384615,-0.35082963253546945,1
18,9,EVE,18.837163339038035,0.7692307692307693,-1.3591689316694637,1
6,3,WOL,30.25080460259747,1.6923076923076923,0.6410842425784974,0
3,2,ARS,33.486872580097256,2.0,1.2482073564147256,-1
15,8,NFO,22.154649647018807,1.2307692307692308,-0.6096603378228054,-1
20,10,CRY,16.461746938942454,0.8461538461538461,-1.5414043262993016,-1
8,4,MUN,31.74479139317459,1.3076923076923077,0.46317524745240246,-2
9,5,BOU,29.19507651259663,1.5384615384615385,0.39650311989942644,-2
12,6,MCI,20.448647716633406,1.6923076923076923,-0.3870669307879516,-4
16,8,LEI,21.806560890192003,1.2307692307692308,-0.6461714718476492,-4
17,9,IPS,21.76393202250021,1.0,-0.8514110569465924,-5
19,10,SOU,17.2562814102887,0.7692307692307693,-1.5249881109484424,-5
14,7,NEW,24.049178478846315,1.0769230769230769,-0.544788127814564,-6
