team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
LIV,7,"M.Salah (MID, ?) ==> (11.0, 15.111)","A.Becker (GKP, ?) ==> (1.0, 3.074)","Luis Díaz (MID, ?) ==> (3.0, 2.778)","Mac Allister (MID, ?) ==> (2.5, 2.778)","Gravenberch (MID, ?) ==> (2.0, 2.0)"
NFO,7,"Anderson (MID, ?) ==> (3.0, 2.778)","Gibbs-White (MID, ?) ==> (2.0, 2.778)","Elanga (MID, ?) ==> (2.0, 2.778)","Sels (GKP, ?) ==> (3.0, 2.63)","N.Williams (DEF, ?) ==> (1.0, 1.778)"
AVL,7,"McGinn (MID, ?) ==> (2.0, 2.778)","Rogers (MID, ?) ==> (2.0, 2.0)","Tielemans (MID, ?) ==> (2.0, 2.0)","Martinez (GKP, ?) ==> (2.0, 1.87)","Duran (FWD, ?) ==> (1.0, 1.778)"
FUL,5,"Leno (GKP, ?) ==> (3.0, 2.685)","Raúl (FWD, ?) ==> (2.0, 2.556)","Andreas (MID, ?) ==> (2.0, 2.556)","Berge (MID, ?) ==> (1.0, 2.556)","Lukić (MID, ?) ==> (1.0, 2.556)"
CHE,4,"Palmer (MID, ?) ==> (6.0, 3.444)","N.Jackson (FWD, ?) ==> (2.0, 2.444)","Sánchez (GKP, ?) ==> (2.0, 2.426)","Enzo (MID, ?) ==> (2.0, 2.0)","Caicedo (MID, ?) ==> (2.0, 2.0)"
ARS,3,"Martinelli (MID, ?) ==> (3.0, 2.333)","Ødegaard (MID, ?) ==> (2.0, 2.333)","Havertz (FWD, ?) ==> (2.0, 2.0)","Thomas (MID, ?) ==> (2.0, 2.0)","Rice (MID, ?) ==> (2.0, 2.0)"
MCI,3,"Foden (MID, ?) ==> (2.0, 2.333)","Sávio (MID, ?) ==> (1.0, 2.333)","Haaland (FWD, ?) ==> (5.0, 2.0)","Bernardo (MID, ?) ==> (2.0, 2.0)","De Bruyne (MID, ?) ==> (1.0, 1.333)"
NEW,2,"Isak (FWD, ?) ==> (6.0, 6.889)","Gordon (MID, ?) ==> (3.0, 2.222)","Hall (DEF, ?) ==> (2.0, 1.389)","Schär (DEF, ?) ==> (2.0, 1.389)","Burn (DEF, ?) ==> (1.0, 1.389)"
BOU,2,"Evanilson (FWD, ?) ==> (2.0, 2.222)","Kluivert (MID, ?) ==> (2.0, 2.222)","Christie (MID, ?) ==> (2.0, 2.222)","Arrizabalaga (GKP, ?) ==> (2.0, 2.204)","Semenyo (MID, ?) ==> (3.0, 2.0)"
BRE,2,"Flekken (GKP, ?) ==> (3.0, 2.704)","Damsgaard (MID, ?) ==> (3.0, 2.222)","Wissa (FWD, ?) ==> (2.0, 2.222)","Nørgaard (MID, ?) ==> (2.0, 2.222)","Mbeumo (MID, ?) ==> (5.0, 2.0)"
TOT,-2,"Kulusevski (MID, ?) ==> (2.0, 2.0)","Solanke (FWD, ?) ==> (2.0, 2.0)","Son (MID, ?) ==> (2.0, 1.778)","P.M.Sarr (MID, ?) ==> (1.0, 0.778)","Gray (MID, ?) ==> (1.0, 0.778)"
EVE,-2,"Pickford (GKP, ?) ==> (2.0, 2.537)","Ndiaye (FWD, ?) ==> (2.0, 2.0)","Gana (MID, ?) ==> (2.0, 2.0)","Mykolenko (DEF, ?) ==> (1.5, 1.806)","A.Doucoure (MID, ?) ==> (2.0, 1.778)"
SOU,-2,"Ramsdale (GKP, ?) ==> (2.0, 2.13)","M.Fernandes (MID, ?) ==> (2.0, 2.0)","Downes (MID, ?) ==> (2.0, 2.0)","Armstrong (FWD, ?) ==> (2.0, 1.778)","Dibling (MID, ?) ==> (1.0, 1.778)"
BHA,-3,"Verbruggen (GKP, ?) ==> (2.0, 2.222)","Mitoma (MID, ?) ==> (2.0, 1.667)","João Pedro (FWD, ?) ==> (2.0, 1.667)","Georginio (MID, ?) ==> (2.0, 1.667)","Baleba (MID, ?) ==> (2.0, 1.667)"
