team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
ARS,24,"Raya (GKP, ?) ==> (2.5, 14.0)","Saliba (DEF, ?) ==> (2.0, 13.333)","Gabriel (DEF, ?) ==> (2.0, 12.0)","J.Timber (DEF, ?) ==> (2.0, 12.0)","Kiwior (DEF, ?) ==> (0.0, 0.0)"
LIV,19,"Virgil (DEF, ?) ==> (5.5, 25.167)","Alexander-Arnold (DEF, ?) ==> (4.0, 22.333)","Robertson (DEF, ?) ==> (2.0, 11.167)","Kelleher (GKP, ?) ==> (1.5, 9.167)","Gomez (DEF, ?) ==> (0.0, 0.0)"
MUN,15,"Onana (GKP, ?) ==> (3.0, 15.333)","Mazraoui (DEF, ?) ==> (2.0, 9.667)","De Ligt (DEF, ?) ==> (1.0, 5.667)","Martinez (DEF, ?) ==> (1.0, 5.667)","Dalot (DEF, ?) ==> (1.0, 4.833)"
WHU,12,"Wan-Bissaka (DEF, ?) ==> (1.5, 6.667)","Emerson (DEF, ?) ==> (1.0, 5.333)","Kilman (DEF, ?) ==> (1.0, 5.333)","Todibo (DEF, ?) ==> (1.0, 5.333)","Fabianski (GKP, ?) ==> (0.0, 0.667)"
CRY,11,"Henderson (GKP, ?) ==> (2.5, 11.833)","Guéhi (DEF, ?) ==> (2.0, 9.222)","Lacroix (DEF, ?) ==> (1.5, 7.833)","Muñoz (DEF, ?) ==> (1.0, 4.0)","Chalobah (DEF, ?) ==> (0.5, 2.611)"
EVE,8,"Young (DEF, ?) ==> (5.0, 23.111)","Pickford (GKP, ?) ==> (2.0, 8.889)","Tarkowski (DEF, ?) ==> (1.5, 7.333)","Mykolenko (DEF, ?) ==> (1.5, 7.333)","Branthwaite (DEF, ?) ==> (0.0, 0.0)"
NEW,3,"Pope (GKP, ?) ==> (3.0, 12.333)","Hall (DEF, ?) ==> (2.0, 8.333)","Schär (DEF, ?) ==> (1.5, 6.5)","Livramento (DEF, ?) ==> (1.5, 6.167)","Burn (DEF, ?) ==> (1.0, 4.167)"
BHA,2,"Verbruggen (GKP, ?) ==> (2.0, 8.333)","Veltman (DEF, ?) ==> (1.5, 6.111)","Estupiñan (DEF, ?) ==> (1.0, 4.222)","Van Hecke (DEF, ?) ==> (1.0, 4.111)","Igor (DEF, ?) ==> (0.5, 2.111)"
MCI,0,"Gvardiol (DEF, ?) ==> (2.0, 8.0)","Rúben (DEF, ?) ==> (1.0, 4.0)","Walker (DEF, ?) ==> (1.0, 4.0)","Ortega Moreno (GKP, ?) ==> (0.0, 0.0)","Aké (DEF, ?) ==> (0.0, 0.0)"
AVL,0,"Digne (DEF, ?) ==> (2.0, 8.0)","Martinez (GKP, ?) ==> (2.0, 8.0)","Konsa (DEF, ?) ==> (1.0, 4.0)","Pau (DEF, ?) ==> (1.0, 4.0)","Cash (DEF, ?) ==> (1.0, 4.0)"
