id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),avg_form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw11Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
17,Bukayo,Saka,MID,ARS,3↓,"Saka (MID, 3↓)",65,9,1,2.0,2.0,3.6666666666666665,3.5555555555555554,3.8586123009300755,6.0,3.0,6.5,3.6,4.5661800227323495,6.0,3.0,7.222222222222222,3.407407407407407,4.236816881097249,-1,5.075979119581335,0,0.0,2,5.2218771533316515,5.14892813646,1,0,0,0,?
9,Gabriel,Martinelli Silva,MID,ARS,~,"Martinelli (MID, ~)",39,10,0,2.0,0.0,1.6666666666666667,0.4444444444444444,0.4714045207910317,3.0,1.5,3.9,2.4599999999999995,3.3896902513356584,3.0,1.5,3.9,2.4599999999999995,3.3896902513356584,-1,2.5379895597906676,0,0.0,2,2.6109385766658257,2.57446406823,1,0,0,0,?
23,Leandro,Trossard,MID,ARS,~,"Trossard (MID, ~)",30,10,0,2.0,0.0,2.3333333333333335,0.4444444444444445,0.4714045207910317,2.0,1.0,3.0,2.6,3.687817782917155,2.0,1.0,3.0,2.6,3.687817782917155,-1,1.6919930398604452,0,0.0,2,1.740625717777217,1.71630937882,1,0,0,0,?
20,Thomas,Partey,MID,ARS,~,"Thomas (MID, ~)",29,10,0,2.0,0.0,2.0,0.0,0.0,2.0,0.5,2.9,1.6599999999999997,2.7730849247724096,2.0,0.5,2.9,1.6599999999999997,2.7730849247724096,-1,1.700098486179907,0,0.0,2,1.7244148251382931,1.71225665566,1,0,0,0,?
4,Kai,Havertz,FWD,ARS,~,"Havertz (FWD, ~)",45,10,0,2.0,0.0,1.6666666666666667,0.4444444444444444,0.4714045207910317,2.0,0.5,4.5,3.2,3.556683848755748,2.0,0.5,4.5,3.2,3.556683848755748,-1,1.700098486179907,0,0.0,2,1.7244148251382931,1.71225665566,1,0,0,0,?
16,Declan,Rice,MID,ARS,~,"Rice (MID, ~)",17,9,1,2.0,0.0,3.0,1.3333333333333333,1.4142135623730951,2.0,0.5,1.7,1.22,1.7349351572897471,2.0,0.0,1.8888888888888888,1.0617283950617284,1.7284832429004495,-1,1.700098486179907,0,0.0,2,1.7244148251382931,1.71225665566,1,0,0,0,?
633,Mikel,Merino,MID,ARS,~,"Merino (MID, ~)",12,4,6,2.0,1.0,3.6666666666666665,2.888888888888889,3.091206165165235,0.0,0.0,1.2,1.52,2.357965224510319,1.5,0.5,3.0,2.5,2.9154759474226504,-1,0.0,0,0.0,2,0.0,0.0,1,0,0,0,?
15,David,Raya Martin,GKP,ARS,1↑,"Raya (GKP, 1↑)",40,10,0,1.0,1.0,1.3333333333333333,1.111111111111111,1.247219128924647,2.5,1.5,4.0,3.0,3.4641016151377544,2.5,1.5,4.0,3.0,3.4641016151377544,-1,2.1109385766658257,-3,2.0623058987490537,0,0.0,2.08662223771,1,0,0,0,?
3,Gabriel,dos Santos Magalhães,DEF,ARS,~,"Gabriel (DEF, ~)",43,10,0,1.0,0.0,1.3333333333333333,0.4444444444444444,0.4714045207910317,2.0,1.0,4.3,3.3600000000000003,4.196427051671456,2.0,1.0,4.3,3.3600000000000003,4.196427051671456,-1,1.6919930398604452,-3,1.6595712545825974,0,0.0,1.67578214722,1,0,0,0,?
24,Benjamin,White,DEF,ARS,~,"White (DEF, ~)",26,8,2,1.0,1.0,1.6666666666666667,1.5555555555555556,1.699673171197595,1.5,1.5,2.6,2.3200000000000003,2.4979991993593593,3.0,2.5,3.25,2.25,2.384848003542364,-1,1.256836610416141,-3,1.2082039324993692,0,0.0,1.23252027146,1,0,0,0,?
