def_rank,def_tier,team,def_avg_xPts,def_med_xPts,avg_GA/match,med_GA/match,def_avg_potential,def_med_potential,defAdv_nxtGWs
2,1,ARS,22.604444517896624,18.437694101250948,1.0,1.0,1.4873276880527277,0.9529159263375595,9
8,4,BHA,12.687351549604008,11.76393202250021,1.4666666666666666,1.0,-0.10796126959448712,0.28995470546785984,6
3,2,AVL,13.574890369854197,12.045084971874736,1.5333333333333334,1.0,-0.12880006802841282,0.3178840053716073,5
10,5,TOT,15.72272975658355,10.190983005625053,1.2666666666666666,1.0,0.4665725905884225,0.13370037870668047,4
1,1,LIV,21.31089636830301,18.72542485937369,0.7857142857142857,0.5,1.6944230260160362,1.635839920151548,3
7,4,MCI,13.322355215291186,10.090169943749475,1.4,1.0,0.04969203803044138,0.12368576478926555,2
9,5,NEW,11.818723759270142,9.854101966249685,1.4,1.0,-0.0854231404011832,0.10023513638496598,2
4,2,EVE,21.315485948482994,20.403252247502312,1.5,1.0,0.6170601410756166,1.14817143784224,1
13,7,BOU,15.512835721042173,10.336881039375367,1.3333333333333333,1.0,0.34711931084164016,0.14819366411590396,1
15,8,IPS,9.891421526208266,9.190983005625053,1.8,1.0,-0.8621632210820689,0.0343619226676955,0
6,3,NFO,17.281152949374526,10.854101966249685,1.2,1.0,0.7072036742290593,0.19957359242395095,-1
12,6,CHE,14.091608796854448,11.100813061875577,1.2,1.0,0.4205936638111683,0.2240814917505894,-1
19,10,WOL,7.979650116978702,6.854101966249685,2.533333333333333,2.0,-2.140469520946831,-1.5064627608214989,-1
5,3,FUL,12.374703099208013,12.190983005625053,1.3333333333333333,1.0,0.06512910144694956,0.3323772907808308,-2
11,6,MUN,15.174515828561834,9.618033988749895,1.2,1.0,0.5179028656262473,0.07678450798066641,-2
14,7,WHU,14.76199066952117,9.76393202250021,1.8666666666666667,1.0,-0.5250899456314049,0.09127779338988987,-2
20,10,LEI,8.333500833291355,6.618033988749895,2.0,2.0,-1.3039338733449897,-1.5299133892257986,-4
16,8,CRY,20.143956680771275,17.336881039375367,1.3333333333333333,2.0,0.7632683161646114,-0.4651196727045307,-5
17,9,SOU,10.279211596395488,10.045084971874736,2.066666666666667,2.0,-1.2296861462220534,-1.1894754357958726,-7
18,9,BRE,12.228302565583634,10.76393202250021,1.8666666666666667,2.0,-0.7527652306091289,-1.118066279660635,-8
