id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw16Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
17,Bukayo,Saka,MID,ARS,4↓,"Saka (MID, 4↓)",103,14,1,8.0,5.5,9.0,6.5,6.745368781616021,6.0,4.0,6.866666666666666,4.506666666666666,5.377318621353542,6.0,3.5,7.357142857142857,4.459183673469388,5.231868593494282,6,8.666666666666666,0,0.0,-1,5.555555555555555,7.11111111111,1,3,3,-4.11111111111,3↓
18,William,Saliba,DEF,ARS,4↑,"Saliba (DEF, 4↑)",55,14,1,8.0,4.0,8.0,4.0,5.0,2.0,2.0,3.6666666666666665,3.466666666666667,4.29987079909256,2.0,2.5,3.928571428571429,3.4897959183673466,4.333660374890718,6,3.333333333333333,9,4.0,0,0.0,3.66666666667,1,6,6,2.33333333333,2↑
13,Martin,Ødegaard,MID,ARS,~,"Ødegaard (MID, ~)",33,8,7,4.5,2.0,4.75,2.25,2.384848003542364,2.0,2.0,2.2,2.1333333333333333,2.6633312473917576,3.0,1.0,4.125,2.15625,2.315032397181517,6,3.333333333333333,0,0.0,-1,1.7777777777777777,2.55555555556,1,3,3,0.4444444444400002,~
6,Jurriën,Timber,DEF,ARS,~,"J.Timber (DEF, ~)",47,13,2,4.0,2.5,5.75,4.25,5.11737237261468,2.0,1.0,3.1333333333333333,2.577777777777777,3.480740661921764,2.0,1.0,3.615384615384616,2.603550295857988,3.4980975387391,6,2.6666666666666665,9,3.0,0,0.0,2.83333333333,1,6,6,3.16666666667,3↑
15,David,Raya Martin,GKP,ARS,~,"Raya (GKP, ~)",58,15,0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,3.8666666666666663,2.64,3.0521395046025592,2.0,1.0,3.8666666666666663,2.64,3.0521395046025592,6,2.6666666666666665,9,3.0,0,0.0,2.83333333333,1,6,6,3.16666666667,3↑
20,Thomas,Partey,MID,ARS,~,"Thomas (MID, ~)",47,14,1,4.0,3.0,4.0,3.0,3.1622776601683795,2.0,1.0,3.1333333333333333,2.08,2.8487814158962,2.0,0.5,3.357142857142857,2.1326530612244903,2.818488522421265,6,2.6666666666666665,0,0.0,-1,1.8888888888888888,2.27777777778,1,1,1,-1.27777777778,1↓
4,Kai,Havertz,FWD,ARS,3↑,"Havertz (FWD, 3↑)",59,14,1,3.5,2.0,3.25,2.25,2.384848003542364,2.0,1.0,3.933333333333333,2.853333333333333,3.295788558482206,2.0,1.0,4.214285714285714,2.816326530612245,3.233277227930364,6,2.6666666666666665,0,0.0,-1,1.8888888888888888,2.27777777778,1,2,2,-0.2777777777799999,~
3,Gabriel,dos Santos Magalhães,DEF,ARS,2↓,"Gabriel (DEF, 2↓)",60,13,2,3.0,3.0,3.75,3.75,3.897114317029974,2.0,2.0,4.0,3.333333333333333,4.016632088371218,2.0,1.0,4.615384615384615,3.2781065088757395,3.9717940441309496,6,3.333333333333333,9,4.0,0,0.0,3.66666666667,1,9,9,5.33333333333,4↑
23,Leandro,Trossard,MID,ARS,1↓,"Trossard (MID, 1↓)",48,15,0,2.0,1.0,4.25,3.875,4.548351349665063,2.0,1.0,3.2,2.853333333333333,3.9021361671098393,2.0,1.0,3.2,2.853333333333333,3.9021361671098393,6,2.6666666666666665,0,0.0,-1,1.8888888888888888,2.27777777778,1,1,1,-1.27777777778,1↓
16,Declan,Rice,MID,ARS,~,"Rice (MID, ~)",30,13,2,2.0,1.0,2.75,2.125,2.5860201081971503,2.0,0.0,2.0,1.2,2.0,2.0,0.0,2.3076923076923075,1.2426035502958577,1.9761896274869428,6,2.0,0,0.0,-1,2.0,2.0,1,3,3,1.0,~
8,Jakub,Kiwior,DEF,ARS,2↑,"Kiwior (DEF, 2↑)",13,8,7,1.5,0.5,2.5,1.75,2.0615528128088303,0.0,0.0,0.8666666666666667,0.9244444444444446,1.499629583893599,1.0,0.0,1.625,1.1875,1.7275343701356567,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
7,Jorge Luiz,Frello Filho,MID,ARS,2↑,"Jorginho (MID, 2↑)",9,7,8,1.5,0.5,1.25,0.75,0.82915619758885,0.0,0.0,0.6,0.7999999999999999,0.8793937305515277,2.0,0.0,1.2857142857142858,0.8163265306122449,0.880630571852711,6,0.0,0,0.0,-1,0.0,0.0,1,1,1,1.0,~
12,Ethan,Nwaneri,MID,ARS,~,"Nwaneri (MID, ~)",13,8,7,1.0,0.5,2.0,2.0,2.345207879911715,1.0,1.0,0.8666666666666667,0.808888888888889,1.4544949486180951,1.0,0.0,1.625,1.09375,1.653594569415369,6,1.6666666666666663,0,0.0,-1,0.8888888888888888,1.27777777778,1,1,1,-0.2777777777799999,~
25,Oleksandr,Zinchenko,DEF,ARS,~,"Zinchenko (DEF, ~)",15,6,9,1.0,0.5,1.75,1.625,1.920286436967152,0.0,0.0,1.0,1.2,1.8257418583505536,1.0,0.0,2.5,2.0,2.140872096444188,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
633,Mikel,Merino,MID,ARS,~,"Merino (MID, ~)",18,8,7,1.0,0.5,1.25,0.875,1.0897247358851685,1.0,1.0,1.2,1.2533333333333332,2.006655592438988,1.0,0.0,2.25,1.625,2.277608394786075,6,1.6666666666666663,0,0.0,-1,0.8888888888888888,1.27777777778,1,3,3,1.72222222222,2↑
2,Gabriel,Fernando de Jesus,FWD,ARS,~,"G.Jesus (FWD, ~)",9,12,3,1.0,0.0,0.75,0.375,0.4330127018922193,1.0,0.0,0.6,0.48,0.4898979485566356,1.0,0.0,0.75,0.375,0.4330127018922193,6,1.0,0,0.0,-1,1.0,1.0,1,1,1,0.0,~
186,Raheem,Sterling,MID,ARS,~,"Sterling (MID, ~)",9,6,9,0.5,0.5,1.25,1.375,1.6393596310755,0.0,0.0,0.6,0.7199999999999999,1.0198039027185568,1.0,0.0,1.5,0.8333333333333334,1.118033988749895,6,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
578,Riccardo,Calafiori,DEF,ARS,~,"Calafiori (DEF, ~)",20,8,7,0.0,0.0,1.5,2.25,2.598076211353316,0.0,0.0,1.3333333333333333,1.7333333333333327,2.547329756605706,1.0,1.0,2.5,2.5,3.0413812651491097,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
9,Gabriel,Martinelli Silva,MID,ARS,3↓,"Martinelli (MID, 3↓)",50,13,2,0.0,0.0,0.75,1.125,1.299038105676658,3.0,2.0,3.333333333333333,2.4888888888888885,3.399346342395189,3.0,2.0,3.8461538461538463,2.5562130177514795,3.370600353877945,6,4.333333333333333,0,0.0,-1,2.7777777777777777,3.55555555556,1,3,3,-0.5555555555599998,~
24,Benjamin,White,DEF,ARS,1↓,"White (DEF, 1↓)",27,9,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,2.0000000000000004,2.3437861108329257,2.0,2.0,3.0,2.2222222222222223,2.3570226039551585,6,1.6666666666666663,9,2.0,0,0.0,1.83333333333,1,0,0,-1.83333333333,2↓
73,Norberto,Murara Neto,GKP,ARS,~,"Neto (GKP, ~)",7,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.808888888888889,1.203698005684519,3.5,0.5,3.5,0.5,0.5,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
22,Tomiyasu,Takehiro,DEF,ARS,~,"Tomiyasu (DEF, ~)",1,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.1244444444444444,0.2494438257849294,1.0,0.0,1.0,0.0,0.0,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
597,Myles,Lewis-Skelly,MID,ARS,~,"Lewis-Skelly (MID, ~)",1,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.1244444444444444,0.2494438257849294,0.5,0.5,0.5,0.5,0.5,6,0.0,0,0.0,-1,0.0,0.0,1,3,3,3.0,3↑
1,Fábio,Ferreira Vieira,MID,ARS,~,"Fábio Vieira (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
5,Karl,Hein,GKP,ARS,~,"Hein (GKP, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
21,Kieran,Tierney,DEF,ARS,~,"Tierney (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
638,Salah-Eddine,Oulad M'hand,MID,ARS,~,"Oulad M'hand (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
639,Tommy,Setford,GKP,ARS,~,"Setford (GKP, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
657,Maldini,Kacurri,DEF,ARS,~,"Kacurri (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
658,Ayden,Heaven,DEF,ARS,~,"Heaven (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
659,Ismeal,Kabia,MID,ARS,~,"Kabia (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
662,Josh,Nichols,DEF,ARS,~,"Nichols (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,9,0.0,0,0.0,0.0,1,0,0,0.0,~
665,Nathan,Butler-Oyedeji,FWD,ARS,~,"Butler-Oyedeji (FWD, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
58,Ollie,Watkins,FWD,AVL,3↓,"Watkins (FWD, 3↓)",77,15,0,4.5,3.0,5.5,4.0,4.387482193696061,2.0,1.0,5.133333333333334,3.493333333333333,4.0144184579532265,2.0,1.0,5.133333333333334,3.493333333333333,4.0144184579532265,0,2.0,0,0.0,1,2.111111111111111,2.05555555556,1,1,1,-1.0555555555599998,1↓
48,John,McGinn,MID,AVL,~,"McGinn (MID, ~)",27,13,2,2.5,0.5,3.0,1.0,1.224744871391589,2.0,1.0,1.8,0.9066666666666666,1.222020185321557,2.0,1.0,2.076923076923077,0.7337278106508877,1.0714144828603167,0,2.0,0,0.0,1,2.111111111111111,2.05555555556,1,6,6,3.94444444444,3↑
54,Morgan,Rogers,MID,AVL,~,"Rogers (MID, ~)",59,15,0,2.0,0.0,3.5,2.25,2.598076211353316,2.0,1.0,3.933333333333333,2.711111111111111,3.021405118299909,2.0,1.0,3.933333333333333,2.711111111111111,3.021405118299909,0,2.0,0,0.0,1,2.111111111111111,2.05555555556,1,2,2,-0.0555555555599998,~
47,Emiliano,Martínez Romero,GKP,AVL,3↑,"Martinez (GKP, 3↑)",43,15,0,2.0,0.5,2.75,1.625,1.920286436967152,2.0,1.0,2.8666666666666667,1.955555555555556,2.6042699979499484,2.0,1.0,2.8666666666666667,1.955555555555556,2.6042699979499484,0,2.0,5,2.555555555555556,0,0.0,2.27777777778,1,2,2,-0.2777777777799999,~
