fpl_rank,fpl_tier,team,fpl_avg_xPts,fpl_med_xPts,avg_GD/match,med_GD/match,fpl_avg_potential,fpl_med_potential,fplAdv_nxtGWs
1,1,ARS,53.08402265817312,53.045395533876246,0.875,0.5,1.4715988352504816,2.947496713128184,5
10,5,NEW,42.42059313554697,40.52786404500042,0.125,0.0,0.1931246605485224,0.17642757758788064,4
14,7,FUL,37.40435321618672,36.9408277246243,0.125,0.0,-0.22265446146471024,-0.6176527603985198,3
2,1,CHE,51.397344884266644,49.11834455075141,1.125,1.0,1.4633353824474022,2.07814561281738,2
11,6,AVL,37.4274815062967,38.933939353874564,-0.0625,0.0,-0.3193920984679801,-0.17642757758788064,2
6,3,BOU,43.828270575938205,41.510643118126104,0.1875,0.0,0.3426871591240409,0.3939903421821994,1
7,4,NFO,41.932217261187134,41.46869176962471,0.125,0.5,0.15264483990482627,0.38470336039165637,1
13,7,BHA,38.096197268155485,37.24640053362438,0.0625,0.0,-0.19819474084843908,-0.5500065651077986,1
17,9,LEI,32.503013662203,32.232623792124926,-0.8125,-0.5,-1.122183194537794,-1.6599316324591484,1
3,2,LIV,52.73631922743682,47.668440519687685,1.2,1.0,1.6137802916925583,1.7571730381922641,0
4,2,TOT,51.36388403803207,45.878832387876756,1.0625,0.0,1.4276770388101814,1.3609984519184244,0
8,4,MUN,43.6532169276719,41.451470842750396,0.125,0.0,0.29529266812401267,0.380891076871725,-1
9,5,BRE,42.22315228234405,41.21884705062547,0.125,0.0,0.1767594575465396,0.329393973702479,-1
16,8,WHU,39.216263911594325,36.35785671362606,-0.5,0.0,-0.4013202014749053,-0.74670799600042,-1
19,10,WOL,31.967400200109147,29.302128623625222,-1.0,-1.0,-1.2652330412665809,-2.3086701413646327,-1
5,3,EVE,43.09693035591751,41.819660112501055,-0.4666666666666667,0.0,-0.06212630856701504,0.4623989941756708,-2
15,8,MCI,38.13482439245236,36.93738353924944,0.3125,0.5,-0.06345351936851978,-0.61841521710127,-2
20,10,SOU,25.73822059335908,24.618033988749893,-1.5625,-1.0,-2.0775126098432186,-3.34561181649983,-3
18,9,IPS,30.963094968390564,31.774264578624802,-0.75,-0.5,-1.216936947270087,-1.7614009253983205,-4
12,6,CRY,40.2042092627823,38.7363785395013,-0.25,0.0,-0.18789321032931564,-0.220162612372084,-5
