id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw17Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
17,Bukayo,Saka,MID,ARS,?,"Saka (MID, ?)",106,15,1,7.8,6.16,6.49307323229917,5.0,3.0,6.625,4.40625,5.290025992374707,6.0,3.0,7.066666666666666,4.355555555555555,5.169998925424346,5,6.666666666666667,0,0.0,-2,4.333333333333333,5.5,1,0,0,0,?
18,William,Saliba,DEF,ARS,?,"Saliba (DEF, ?)",61,15,1,7.6,3.5200000000000005,4.543126676640219,2.0,2.5,3.8125,3.4140625,4.201469237064577,2.0,3.0,4.066666666666666,3.404444444444445,4.218477871881699,5,3.388888888888889,9,4.5,0,0.0,3.94444444444,1,0,0,0,?
6,Jurriën,Timber,DEF,ARS,?,"J.Timber (DEF, ?)",53,14,2,5.8,3.44,4.578209256903839,2.0,1.5,3.3125,2.640625,3.440907402125201,2.0,1.0,3.7857142857142856,2.6122448979591835,3.4263385586318447,5,2.8333333333333335,9,3.5,0,0.0,3.16666666667,1,0,0,0,?
3,Gabriel,dos Santos Magalhães,DEF,ARS,?,"Gabriel (DEF, ?)",69,14,2,4.8,3.84,4.069397989875161,2.0,2.0,4.3125,3.4765625,4.073063190032779,4.0,2.5,4.928571428571429,3.357142857142857,3.990422206703835,5,3.111111111111111,9,4.0,0,0.0,3.55555555556,1,0,0,0,?
15,David,Raya Martin,GKP,ARS,?,"Raya (GKP, ?)",64,16,0,4.4,1.92,1.9595917942265424,2.5,1.5,4.0,2.625,3.0,2.5,1.5,4.0,2.625,3.0,5,3.3333333333333335,9,4.0,0,0.0,3.66666666667,1,0,0,0,?
13,Martin,Ødegaard,MID,ARS,?,"Ødegaard (MID, ?)",36,9,7,4.4,2.08,2.244994432064365,2.0,2.0,2.25,2.0625,2.5860201081971503,3.0,1.0,4.0,2.0,2.211083193570267,5,3.111111111111111,0,0.0,-2,1.5555555555555556,2.33333333333,1,0,0,0,?
23,Leandro,Trossard,MID,ARS,?,"Trossard (MID, ?)",49,16,0,3.6,3.3600000000000003,4.2708313008125245,1.5,0.5,3.0625,2.7265625,3.815572532399299,1.5,0.5,3.0625,2.7265625,3.815572532399299,5,1.7777777777777777,0,0.0,-2,1.3888888888888888,1.58333333333,1,0,0,0,?
20,Thomas,Partey,MID,ARS,?,"Thomas (MID, ?)",48,15,1,3.4,2.88,3.0724582991474434,2.0,1.0,3.0,2.0,2.806243040080456,2.0,1.0,3.2,2.0533333333333332,2.7856776554368237,5,2.5555555555555554,0,0.0,-2,1.7777777777777777,2.16666666667,1,0,0,0,?
4,Kai,Havertz,FWD,ARS,?,"Havertz (FWD, ?)",61,15,1,3.0,2.0,2.1908902300206643,2.0,1.0,3.8125,2.765625,3.225266461860167,2.0,1.0,4.066666666666666,2.746666666666667,3.172100600898752,5,2.5555555555555554,0,0.0,-2,1.7777777777777777,2.16666666667,1,0,0,0,?
16,Declan,Rice,MID,ARS,?,"Rice (MID, ?)",33,14,2,2.8,1.7600000000000002,2.315167380558045,2.0,0.5,2.0625,1.21875,1.9515618744994994,2.0,0.0,2.357142857142857,1.2244897959183676,1.9126325484279834,5,2.2777777777777777,0,0.0,-2,1.8888888888888888,2.08333333333,1,0,0,0,?
8,Jakub,Kiwior,DEF,ARS,?,"Kiwior (DEF, ?)",13,8,8,2.0,1.6,2.0976176963403033,0.0,0.0,0.8125,0.9140625,1.4670868242881878,1.0,0.0,1.625,1.1875,1.7275343701356567,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
12,Ethan,Nwaneri,MID,ARS,?,"Nwaneri (MID, ?)",14,9,7,1.8,1.6800000000000002,2.1354156504062622,1.0,0.5,0.875,0.765625,1.4086784586980805,1.0,0.0,1.5555555555555556,0.9876543209876542,1.5713484026367723,5,1.2777777777777777,0,0.0,-2,0.8888888888888888,1.08333333333,1,0,0,0,?
633,Mikel,Merino,MID,ARS,?,"Merino (MID, ?)",21,9,7,1.6,1.1199999999999999,1.2000000000000002,1.0,1.0,1.3125,1.34375,1.9911915402592488,1.0,0.0,2.3333333333333335,1.5555555555555558,2.1602468994692865,5,1.5555555555555556,0,0.0,-2,0.7777777777777778,1.16666666667,1,0,0,0,?
25,Oleksandr,Zinchenko,DEF,ARS,?,"Zinchenko (DEF, ?)",15,6,10,1.4,1.4400000000000002,1.8547236990991407,0.0,0.0,0.9375,1.171875,1.7842628029525247,1.0,0.0,2.5,2.0,2.140872096444188,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
9,Gabriel,Martinelli Silva,MID,ARS,?,"Martinelli (MID, ?)",53,14,2,1.2,1.44,1.469693845669907,3.0,2.0,3.3125,2.34375,3.2923917977664807,3.0,1.5,3.7857142857142856,2.4081632653061225,3.2552939614588126,5,4.111111111111111,0,0.0,-2,2.5555555555555554,3.33333333333,1,0,0,0,?
578,Riccardo,Calafiori,DEF,ARS,?,"Calafiori (DEF, ?)",20,8,8,1.2,1.92,2.4000000000000004,0.0,0.0,1.25,1.65625,2.48746859276655,1.0,1.0,2.5,2.5,3.0413812651491097,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
7,Jorge Luiz,Frello Filho,MID,ARS,?,"Jorginho (MID, ?)",10,8,8,1.2,0.64,0.7483314773547883,0.0,0.0,0.625,0.78125,0.8569568250501305,1.5,0.5,1.25,0.75,0.82915619758885,5,0.0,0,0.0,-2,0.0,0.0,1,0,0,0,?
186,Raheem,Sterling,MID,ARS,?,"Sterling (MID, ?)",9,6,10,1.0,1.2,1.5491933384829668,0.0,0.0,0.5625,0.703125,0.998044963916957,1.0,0.0,1.5,0.8333333333333334,1.118033988749895,5,0.0,0,0.0,-2,0.0,0.0,1,0,0,0,?
2,Gabriel,Fernando de Jesus,FWD,ARS,?,"G.Jesus (FWD, ?)",10,13,3,0.8,0.31999999999999995,0.4,1.0,0.0,0.625,0.46875,0.4841229182759271,1.0,0.0,0.7692307692307693,0.3550295857988166,0.4213250442347432,5,1.0,0,0.0,-2,1.0,1.0,1,0,0,0,?
597,Myles,Lewis-Skelly,MID,ARS,?,"Lewis-Skelly (MID, ?)",4,3,13,0.6,0.96,1.2,0.0,0.0,0.25,0.4375,0.75,1.0,1.0,1.3333333333333333,1.111111111111111,1.247219128924647,5,0.0,0,0.0,-2,0.0,0.0,1,0,0,0,?
24,Benjamin,White,DEF,ARS,?,"White (DEF, ?)",27,9,7,0.0,0.0,0.0,0.5,0.5,1.6875,1.9453125,2.310810193417019,2.0,2.0,3.0,2.2222222222222223,2.3570226039551585,5,0.7777777777777778,9,1.0,0,0.0,0.88888888889,1,0,0,0,?
73,Norberto,Murara Neto,GKP,ARS,?,"Neto (GKP, ?)",7,2,14,0.0,0.0,0.0,0.0,0.0,0.4375,0.765625,1.1709371246996996,3.5,0.5,3.5,0.5,0.5,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
22,Tomiyasu,Takehiro,DEF,ARS,?,"Tomiyasu (DEF, ?)",1,1,15,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,0.24206145913796356,1.0,0.0,1.0,0.0,0.0,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
1,Fábio,Ferreira Vieira,MID,ARS,?,"Fábio Vieira (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0,0.0,-2,0.0,0.0,1,0,0,0,?
5,Karl,Hein,GKP,ARS,?,"Hein (GKP, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
21,Kieran,Tierney,DEF,ARS,?,"Tierney (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
638,Salah-Eddine,Oulad M'hand,MID,ARS,?,"Oulad M'hand (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0,0.0,-2,0.0,0.0,1,0,0,0,?
639,Tommy,Setford,GKP,ARS,?,"Setford (GKP, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
657,Maldini,Kacurri,DEF,ARS,?,"Kacurri (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
658,Ayden,Heaven,DEF,ARS,?,"Heaven (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
659,Ismeal,Kabia,MID,ARS,?,"Kabia (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0,0.0,-2,0.0,0.0,1,0,0,0,?
662,Josh,Nichols,DEF,ARS,?,"Nichols (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,9,0.0,0,0.0,0.0,1,0,0,0,?
665,Nathan,Butler-Oyedeji,FWD,ARS,?,"Butler-Oyedeji (FWD, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0,0.0,-2,0.0,0.0,1,0,0,0,?
58,Ollie,Watkins,FWD,AVL,?,"Watkins (FWD, ?)",78,16,0,4.6,3.9200000000000004,4.31740662898458,2.0,1.0,4.875,3.484375,4.013648589500581,2.0,1.0,4.875,3.484375,4.013648589500581,2,2.2222222222222223,0,0.0,2,2.2222222222222223,2.22222222222,1,0,0,0,?
48,John,McGinn,MID,AVL,?,"McGinn (MID, ?)",33,14,2,3.6,1.52,1.624807680927192,2.0,1.0,2.0625,1.09375,1.5599979967935855,2.0,1.0,2.357142857142857,1.0816326530612244,1.4445534582969062,2,2.2222222222222223,0,0.0,2,2.2222222222222223,2.22222222222,1,0,0,0,?
54,Morgan,Rogers,MID,AVL,?,"Rogers (MID, ?)",61,16,0,3.2,1.9200000000000004,2.4000000000000004,2.0,0.5,3.8125,2.6171875,2.962658223622833,2.0,0.5,3.8125,2.6171875,2.962658223622833,2,2.111111111111111,0,0.0,2,2.111111111111111,2.11111111111,1,0,0,0,?
38,Jhon,Durán,FWD,AVL,?,"Duran (FWD, ?)",46,16,0,3.0,2.8,3.03315017762062,1.0,0.0,2.875,2.46875,2.6427968139832467,1.0,0.0,2.875,2.46875,2.6427968139832467,2,1.0,0,0.0,2,1.0,1.0,1,0,0,0,?
47,Emiliano,Martínez Romero,GKP,AVL,?,"Martinez (GKP, ?)",45,16,0,2.6,1.36,1.7435595774162693,2.0,1.0,2.8125,1.8671875,2.530285309999645,2.0,1.0,2.8125,1.8671875,2.530285309999645,2,2.2222222222222223,2,2.2222222222222223,0,0.0,2.22222222222,1,0,0,0,?
29,Ross,Barkley,MID,AVL,?,"Barkley (MID, ?)",28,13,3,2.6,2.5599999999999996,3.2000000000000006,1.0,0.5,1.75,1.625,2.3048861143232218,1.0,0.0,2.1538461538461537,1.7751479289940826,2.3808903908526404,2,1.1111111111111112,0,0.0,2,1.1111111111111112,1.11111111111,1,0,0,0,?
44,Ezri,Konsa Ngoyo,DEF,AVL,?,"Konsa (DEF, ?)",32,14,2,2.4,2.2399999999999998,2.8705400188814645,1.0,1.0,2.0,1.625,2.5495097567963922,1.0,0.5,2.2857142857142856,1.7755102040816324,2.602981022612657,2,1.2222222222222223,2,1.2222222222222223,0,0.0,1.22222222222,1,0,0,0,?
57,Youri,Tielemans,MID,AVL,?,"Tielemans (MID, ?)",45,16,0,2.2,0.64,0.7483314773547882,2.0,1.0,2.8125,1.515625,2.037730048362638,2.0,1.0,2.8125,1.515625,2.037730048362638,2,2.2222222222222223,0,0.0,2,2.2222222222222223,2.22222222222,1,0,0,0,?
52,Pau,Torres,DEF,AVL,?,"Pau (DEF, ?)",28,15,1,1.8,1.6800000000000002,2.1354156504062622,1.0,0.5,1.75,1.1875,1.713913650100261,1.0,0.0,1.8666666666666667,1.1733333333333333,1.7074997966487595,2,1.1111111111111112,2,1.1111111111111112,0,0.0,1.11111111111,1,0,0,0,?
32,Matty,Cash,DEF,AVL,?,"Cash (DEF, ?)",22,10,6,1.8,2.0800000000000005,2.638181191654584,1.0,1.0,1.375,1.4375,2.057759704144291,1.0,0.5,2.2,1.72,2.227105745132009,2,1.2222222222222223,2,1.2222222222222223,0,0.0,1.22222222222,1,0,0,0,?
