team,avgAdv_nxtGWs,#atts,#defs,Player1,Player2,Player3
LIV,8.0,1,2,"M.Salah (MID, 4↑) ==> (10.0, 8.99492)","Konaté (DEF, 2↑) ==> (6.0, 5.41641)","Virgil (DEF, 1↑) ==> (6.0, 5.27051)"
CHE,5.25,3,0,"Palmer (MID, 3↓) ==> (6.0, 5.57852)","N.Jackson (FWD, 3↓) ==> (5.0, 4.61094)","Caicedo (MID, ~) ==> (2.0, 1.82168)"
FUL,4.75,2,1,"Smith Rowe (MID, 5↑) ==> (3.0, 2.74063)","Iwobi (MID, 3↑) ==> (3.0, 2.65147)","Leno (GKP, 4↑) ==> (3.0, 2.62715)"
NEW,4.5,0,3,"Pope (GKP, ~) ==> (3.0, 2.65147)","Hall (DEF, ~) ==> (2.0, 1.79736)","Livramento (DEF, ~) ==> (2.0, 1.79736)"
MUN,4.0,0,3,"Onana (GKP, 4↑) ==> (3.0, 2.72441)","Mazraoui (DEF, 4↑) ==> (2.0, 1.87031)","De Ligt (DEF, 4↑) ==> (1.0, 0.93516)"
NFO,2.75,1,2,"Wood (FWD, 4↓) ==> (7.0, 6.04356)","Sels (GKP, 1↓) ==> (3.0, 2.67578)","Milenković (DEF, 2↓) ==> (2.0, 1.82168)"
BHA,1.75,3,0,"Welbeck (FWD, 3↓) ==> (6.0, 5.27051)","Georginio (MID, ~) ==> (2.0, 1.75684)","Mitoma (MID, ~) ==> (2.0, 1.75684)"
BRE,1.5,3,0,"Mbeumo (MID, 2↓) ==> (8.0, 7.03545)","Damsgaard (MID, 4↑) ==> (3.0, 2.60283)","Wissa (FWD, 6↑) ==> (2.0, 1.78926)"
TOT,0.75,2,1,"Maddison (MID, 3↓) ==> (4.0, 3.46504)","Johnson (MID, 1↓) ==> (3.0, 2.58662)","Pedro Porro (DEF, 2↑) ==> (2.0, 1.7082)"
AVL,0.25,0,3,"Digne (DEF, ~) ==> (2.0, 1.77305)","Martinez (GKP, ~) ==> (2.0, 1.74063)","Konsa (DEF, ~) ==> (1.0, 0.88652)"
CRY,-0.25,0,3,"Guéhi (DEF, ~) ==> (2.0, 1.73252)","Henderson (GKP, ~) ==> (2.0, 1.73252)","Lacroix (DEF, 1↓) ==> (1.0, 0.87842)"
MCI,-0.75,2,1,"Haaland (FWD, ~) ==> (6.0, 5.12461)","Kovačić (MID, 1↑) ==> (2.0, 1.7082)","Gvardiol (DEF, 3↓) ==> (2.0, 1.68389)"
EVE,-1.5,2,1,"Young (DEF, 2↑) ==> (5.0, 4.22998)","McNeil (MID, 2↓) ==> (2.0, 1.7082)","Calvert-Lewin (FWD, ~) ==> (2.0, 1.7082)"
BOU,-1.75,3,0,"Semenyo (MID, 1↓) ==> (2.0, 1.7001)","Cook (MID, 3↑) ==> (2.0, 1.7001)","Kluivert (MID, 4↑) ==> (2.0, 1.7001)"
ARS,-2.75,1,2,"Saka (MID, 3↓) ==> (6.0, 4.9544)","Gabriel (DEF, ~) ==> (2.0, 1.67578)","Raya (GKP, ~) ==> (2.0, 1.67578)"
IPS,-4.0,1,2,"Davis (DEF, ~) ==> (2.0, 1.65957)","Muric (GKP, 1↑) ==> (2.0, 1.65957)","Delap (FWD, 5↑) ==> (2.0, 1.62715)"
WHU,-4.5,1,2,"Bowen (MID, ~) ==> (3.0, 2.47315)","Kilman (DEF, 4↑) ==> (1.0, 0.79736)","Emerson (DEF, 4↑) ==> (1.0, 0.79736)"
WOL,-4.75,2,1,"Cunha (FWD, 5↑) ==> (6.0, 4.86524)","Strand Larsen (FWD, ~) ==> (2.0, 1.64336)","Dawson (DEF, 4↑) ==> (1.0, 0.8541)"
LEI,-5.25,3,0,"Ndidi (MID, ~) ==> (2.0, 1.7082)","Winks (MID, ~) ==> (2.0, 1.7082)","A.Fatawu (MID, ~) ==> (2.0, 1.65147)"
SOU,-8.0,0,3,"Ramsdale (GKP, 2↓) ==> (2.0, 1.59473)","Bednarek (DEF, ~) ==> (1.0, 0.8541)","Harwood-Bellis (DEF, 1↓) ==> (1.0, 0.74063)"
