att_rank,def_rank,(def-att)_rank,team,att_xPts,def_xPts,(att-def)_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
16,2,-14,NFO,20.65383094562,20.509288015,0.1445429306200019,-7,27,-34,5,-6.8,0,3
15,4,-11,NEW,21.16742419234,17.10013551031,4.06728868203,-12,18,-30,5,-6.0,0,3
17,3,-14,MUN,21.13162723547,18.07589914547,3.055728089999999,-7,19,-26,5,-5.2,0,3
20,10,-10,CRY,13.64952571391,14.84549150281,-1.1959657889000006,-24,0,-24,5,-4.8,0,3
13,7,-6,EVE,23.53216927672,20.11576141172,3.416407865,0,14,-14,5,-2.8,0,3
11,17,6,WHU,26.39193157781,9.14023769891,17.2516938789,-16,-10,-6,5,-1.2,1,2
19,18,-1,SOU,16.86837276453,10.40915250469,6.45922025984,-26,-24,-2,5,-0.4,1,2
3,1,-2,LIV,31.49932244844,24.65383094562,6.84549150282,16,17,-1,5,-0.2,1,2
18,19,1,IPS,20.24603354406,8.34911918297,11.896914361090001,-23,-22,-1,5,-0.2,1,2
7,6,-1,AVL,27.97711873828,17.26891480578,10.708203932500002,4,4,0,5,0.0,1,2
12,13,1,LEI,24.97281350656,15.03284682828,9.939966678280001,-1,-4,3,5,0.6,2,1
6,9,3,ARS,28.98708430484,14.93861157515,14.04847272969,6,0,6,5,1.2,2,1
4,5,1,MCI,27.83552593625,17.10013551031,10.73539042594,16,6,10,5,2.0,2,1
10,14,4,FUL,26.97711873828,12.94562701313,14.031491725150001,6,-6,12,5,2.4,2,1
1,8,7,TOT,34.92840608625,15.82261024109,19.10579584516,23,10,13,5,2.6,2,1
9,12,3,BOU,28.70094857219,13.37335554781,15.32759302438,5,-10,15,5,3.0,3,0
14,20,6,WOL,19.69528823734,9.11871154031,10.576576697030001,-2,-17,15,5,3.0,3,0
5,11,6,BHA,31.7453559925,14.00430523172,17.74105076078,14,-4,18,5,3.6,3,0
8,16,8,BRE,27.45922025984,12.83688103938,14.622339220459999,14,-8,22,5,4.4,3,0
2,15,13,CHE,32.94993224484,10.40349216984,22.546440075,14,-10,24,5,4.8,3,0
