team,attAdv_nxtGWs,attPlayer1,attPlayer2,attPlayer3,attPlayer4,attPlayer5
CHE,7,"N.Jackson (FWD, 5↑) ==> (5.5, 5.095)","Palmer (MID, 3↓) ==> (4.5, 4.127)","Madueke (MID, 1↑) ==> (2.5, 2.249)","Enzo (MID, 5↑) ==> (2.0, 1.822)","Caicedo (MID, ~) ==> (2.0, 1.765)"
BRE,7,"Mbeumo (MID, 3↓) ==> (6.5, 5.949)","Damsgaard (MID, ~) ==> (3.0, 2.676)","Janelt (MID, 1↑) ==> (2.5, 2.192)","Wissa (FWD, ~) ==> (2.0, 1.935)","Lewis-Potter (MID, 1↑) ==> (2.0, 1.822)"
LIV,6,"M.Salah (MID, 3↑) ==> (10.0, 8.881)","Gravenberch (MID, 2↑) ==> (3.0, 2.611)","Szoboszlai (MID, 5↑) ==> (2.0, 1.805)","Jones (MID, 1↑) ==> (1.5, 1.427)","Darwin (FWD, 1↑) ==> (1.0, 0.951)"
WOL,5,"Cunha (FWD, 6↑) ==> (6.0, 5.449)","Strand Larsen (FWD, 3↑) ==> (3.5, 3.111)","Mario Jr. (MID, 4↑) ==> (2.0, 1.789)","J.Gomes (MID, 5↑) ==> (2.0, 1.789)","Guedes (MID, 4↑) ==> (1.0, 0.854)"
BHA,5,"Welbeck (FWD, 3↓) ==> (5.5, 4.981)","Georginio (MID, 3↑) ==> (2.5, 2.297)","Mitoma (MID, 5↑) ==> (2.5, 2.216)","Ayari (MID, 2↑) ==> (1.5, 1.322)","João Pedro (FWD, 6↑) ==> (0.5, 0.468)"
TOT,4,"Maddison (MID, 6↑) ==> (4.5, 4.006)","Johnson (MID, 3↑) ==> (3.5, 3.119)","Son (MID, 4↑) ==> (2.5, 2.297)","Solanke (FWD, 3↑) ==> (2.0, 1.838)","Kulusevski (MID, 4↑) ==> (2.0, 1.773)"
BOU,4,"Evanilson (FWD, ~) ==> (2.0, 1.838)","Semenyo (MID, ~) ==> (2.0, 1.773)","Kluivert (MID, ~) ==> (2.0, 1.773)","Cook (MID, ~) ==> (2.0, 1.773)","Tavernier (MID, ~) ==> (2.0, 1.741)"
NFO,3,"Wood (FWD, 4↓) ==> (7.0, 6.149)","Hudson-Odoi (MID, ~) ==> (2.5, 2.16)","Anderson (MID, 2↓) ==> (2.0, 1.757)","Elanga (MID, ~) ==> (2.0, 1.757)","Dominguez (MID, 1↑) ==> (1.0, 0.903)"
AVL,1,"Watkins (FWD, 4↑) ==> (3.5, 3.014)","Rogers (MID, ~) ==> (2.0, 1.724)","Tielemans (MID, 1↑) ==> (2.0, 1.724)","Onana (MID, 2↓) ==> (2.0, 1.724)","McGinn (MID, 3↑) ==> (1.5, 1.289)"
ARS,0,"Saka (MID, 5↑) ==> (6.0, 5.125)","Martinelli (MID, 2↓) ==> (3.0, 2.562)","Thomas (MID, 4↑) ==> (2.0, 1.708)","Trossard (MID, 1↑) ==> (2.0, 1.708)","Ødegaard (MID, 4↑) ==> (0.0, 0.0)"
LEI,0,"Vardy (FWD, ~) ==> (2.0, 1.708)","Ndidi (MID, ~) ==> (2.0, 1.708)","J.Ayew (MID, 4↑) ==> (2.0, 1.708)","A.Fatawu (MID, 2↓) ==> (2.0, 1.708)","Winks (MID, ~) ==> (2.0, 1.708)"
FUL,-1,"Raúl (FWD, 2↓) ==> (3.5, 2.949)","Iwobi (MID, 4↑) ==> (3.0, 2.546)","Smith Rowe (MID, 2↓) ==> (3.0, 2.53)","Andreas (MID, 2↓) ==> (2.0, 1.692)","Wilson (MID, ~) ==> (1.0, 0.838)"
NEW,-2,"Gordon (MID, ~) ==> (2.0, 1.692)","Bruno G. (MID, ~) ==> (2.0, 1.692)","Joelinton (MID, ~) ==> (2.0, 1.676)","Isak (FWD, ~) ==> (2.0, 1.643)","Longstaff (MID, ~) ==> (1.0, 0.838)"
MUN,-4,"B.Fernandes (MID, ~) ==> (3.0, 2.497)","Garnacho (MID, ~) ==> (2.0, 1.676)","Rashford (MID, 4↑) ==> (2.0, 1.643)","Amad (MID, 5↑) ==> (2.0, 1.579)","Højlund (FWD, ~) ==> (1.0, 0.789)"
SOU,-4,"Downes (MID, ~) ==> (2.0, 1.676)","M.Fernandes (MID, 4↑) ==> (2.0, 1.643)","Aribo (MID, ~) ==> (1.5, 1.249)","Archer (FWD, ~) ==> (1.0, 0.822)","Armstrong (FWD, 4↑) ==> (1.0, 0.789)"
MCI,-5,"Haaland (FWD, 3↓) ==> (5.5, 4.414)","Gündogan (MID, ~) ==> (2.0, 1.668)","Kovačić (MID, 2↓) ==> (2.0, 1.627)","Foden (MID, 1↑) ==> (1.5, 1.241)","Sávio (MID, 1↑) ==> (1.0, 0.773)"
EVE,-6,"Gana (MID, 1↑) ==> (2.0, 1.708)","McNeil (MID, 1↑) ==> (2.0, 1.66)","Ndiaye (FWD, ~) ==> (2.0, 1.66)","A.Doucoure (MID, 1↑) ==> (2.0, 1.611)","Lindstrøm (MID, 2↑) ==> (1.0, 0.757)"
CRY,-6,"Mateta (FWD, 3↑) ==> (2.0, 1.611)","I.Sarr (MID, 6↑) ==> (1.0, 0.854)","Schlupp (MID, ~) ==> (1.0, 0.854)","Hughes (MID, 1↑) ==> (1.0, 0.757)","Devenny (MID, 5↑) ==> (0.0, 0.0)"
IPS,-7,"Morsy (MID, ~) ==> (2.0, 1.651)","Delap (FWD, ~) ==> (2.0, 1.595)","Szmodics (MID, ~) ==> (2.0, 1.595)","Hutchinson (MID, 5↑) ==> (2.0, 1.595)","Cajuste (MID, 2↑) ==> (0.0, 0.0)"
WHU,-7,"Bowen (MID, 4↑) ==> (4.0, 3.189)","Antonio (FWD, ~) ==> (2.0, 1.708)","L.Paquetá (MID, 1↑) ==> (2.0, 1.595)","Souček (MID, 5↑) ==> (1.5, 1.111)","Summerville (MID, 2↑) ==> (1.0, 0.854)"
